tkd_trans,tkd_promptdata1,legacy_part_number,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,38019,E04-92-0592-039,PART,PART,*,*,12149#BCRTC,+,+
LDOC,38020,E04-92-0592-040,PART,PART,*,*,3651#BCRTC,+,+
LDOC,38021,E04-92-0592-041,PART,PART,*,*,12150#BCRTC,+,+
LDOC,38022,E04-92-0592-042,PART,PART,*,*,3652#BCRTC,+,+
LDOC,38023,E04-92-0592-043,PART,PART,*,*,12151#BCRTC,+,+
LDOC,38024,E04-92-0592-044,PART,PART,*,*,12298#BCRTC,+,+
LDOC,38025,E04-92-0592-045,PART,PART,*,*,12346#BCRTC,+,+
LDOC,38026,E04-92-0592-047,PART,PART,*,*,12363#BCRTC,+,+
LDOC,38027,E04-92-0592-048,PART,PART,*,*,12362#BCRTC,+,+
LDOC,38028,E04-92-0592-049,PART,PART,*,*,12361#BCRTC,+,+
LDOC,38029,E04-92-0592-050,PART,PART,*,*,3653#BCRTC,+,+
LDOC,38030,E04-92-0592-051,PART,PART,*,*,12801#BCRTC,+,+
LDOC,38031,E04-92-0592-052,PART,PART,*,*,13797#BCRTC,+,+
LDOC,38032,E04-92-0592-055,PART,PART,*,*,13858#BCRTC,+,+
LDOC,38033,E04-92-0592-056,PART,PART,*,*,13873#BCRTC,+,+
LDOC,38034,E04-92-0592-057,PART,PART,*,*,13902#BCRTC,+,+
LDOC,38035,E04-92-0592-058,PART,PART,*,*,6662#BCRTC,+,+
LDOC,38036,E04-92-0592-059,PART,PART,*,*,13905#BCRTC,+,+
LDOC,38037,E04-92-0592-060,PART,PART,*,*,3654#BCRTC,+,+
LDOC,38038,E04-92-0592-062,PART,PART,*,*,13907#BCRTC,+,+
LDOC,38039,E04-92-0592-063,PART,PART,*,*,13908#BCRTC,+,+
LDOC,38040,E04-92-0592-064,PART,PART,*,*,13926#BCRTC,+,+
LDOC,38041,E04-92-0592-065,PART,PART,*,*,13929#BCRTC,+,+
LDOC,38042,E04-92-0592-066,PART,PART,*,*,13940#BCRTC,+,+
LDOC,38043,E04-92-0592-067,PART,PART,*,*,12465#BCRTC,+,+
LDOC,38044,E04-92-0592-069,PART,PART,*,*,14003#BCRTC,+,+
LDOC,38045,E04-92-0592-070,PART,PART,*,*,14002#BCRTC,+,+
LDOC,38046,E04-92-0592-071,PART,PART,*,*,14004#BCRTC,+,+
LDOC,38047,E04-92-0592-073,PART,PART,*,*,14047#BCRTC,+,+
LDOC,38048,E04-92-0592-074,PART,PART,*,*,14090#BCRTC,+,+
LDOC,38049,E04-92-0592-075,PART,PART,*,*,3655#BCRTC,+,+
LDOC,38050,E04-92-0592-077,PART,PART,*,*,3656#BCRTC,+,+
LDOC,38051,E04-92-0592-078,PART,PART,*,*,14190#BCRTC,+,+
LDOC,38052,E04-92-0592-080,PART,PART,*,*,14250#BCRTC,+,+
LDOC,38053,E04-92-0592-081,PART,PART,*,*,14246#BCRTC,+,+
LDOC,38054,E04-92-0592-082,PART,PART,*,*,14297#BCRTC,+,+
LDOC,38055,E04-92-0592-083,PART,PART,*,*,14306#BCRTC,+,+
LDOC,38056,E04-92-0592-085,PART,PART,*,*,14320#BCRTC,+,+
LDOC,38057,E04-92-0592-088,PART,PART,*,*,14317#BCRTC,+,+
LDOC,38058,E04-92-0592-089,PART,PART,*,*,14322#BCRTC,+,+
LDOC,38059,E04-92-0592-090,PART,PART,*,*,14375#BCRTC,+,+
LDOC,38060,E04-92-0592-092,PART,PART,*,*,14430#BCRTC,+,+
LDOC,38061,E04-92-0592-093,PART,PART,*,*,14431#BCRTC,+,+
LDOC,38062,E04-92-0592-095,PART,PART,*,*,14432#BCRTC,+,+
LDOC,38063,E04-92-0592-096,PART,PART,*,*,14433#BCRTC,+,+
LDOC,38064,E04-92-0592-097,PART,PART,*,*,14434#BCRTC,+,+
LDOC,38065,E04-92-0592-098,PART,PART,*,*,14448#BCRTC,+,+
LDOC,38066,E04-92-0592-099,PART,PART,*,*,14449#BCRTC,+,+
LDOC,38067,E04-92-0592-100,PART,PART,*,*,3657#BCRTC,+,+
LDOC,38068,E04-92-0592-101,PART,PART,*,*,14450#BCRTC,+,+
LDOC,38069,E04-92-0592-102,PART,PART,*,*,14451#BCRTC,+,+
LDOC,38070,E04-92-0592-103,PART,PART,*,*,14452#BCRTC,+,+
LDOC,38071,E04-92-0592-104,PART,PART,*,*,14554#BCRTC,+,+
LDOC,38072,E04-92-0592-105,PART,PART,*,*,14566#BCRTC,+,+
LDOC,38073,E04-92-0592-106,PART,PART,*,*,14583#BCRTC,+,+
LDOC,38074,E04-92-0592-107,PART,PART,*,*,14621#BCRTC,+,+
LDOC,38075,E04-92-0592-108,PART,PART,*,*,14620#BCRTC,+,+
LDOC,38076,E04-92-0592-109,PART,PART,*,*,14619#BCRTC,+,+
LDOC,38077,E04-92-0592-111,PART,PART,*,*,14657#BCRTC,+,+
LDOC,38078,E04-92-0592-112,PART,PART,*,*,14659#BCRTC,+,+
LDOC,38079,E04-92-0592-113,PART,PART,*,*,14658#BCRTC,+,+
LDOC,38080,E04-92-0592-114,PART,PART,*,*,14722#BCRTC,+,+
LDOC,38081,E04-92-0592-115,PART,PART,*,*,3659#BCRTC,+,+
LDOC,38082,E04-92-0592-116,PART,PART,*,*,14721#BCRTC,+,+
LDOC,38083,E04-92-0592-118,PART,PART,*,*,14879#BCRTC,+,+
LDOC,38084,E04-92-0592-150,PART,PART,*,*,3660#BCRTC,+,+
LDOC,38085,E04-92-0592-160,PART,PART,*,*,3661#BCRTC,+,+
LDOC,38086,E04-92-0592-175,PART,PART,*,*,3662#BCRTC,+,+
LDOC,38087,E04-92-0592-240,PART,PART,*,*,3664#BCRTC,+,+
LDOC,38088,E04-92-0592-480,PART,PART,*,*,3665#BCRTC,+,+
LDOC,38089,E04-92-0592-542,PART,PART,*,*,3669#BCRTC,+,+
LDOC,38090,E04-92-0592-632,PART,PART,*,*,3671#BCRTC,+,+
LDOC,38091,E04-92-0592-633,PART,PART,*,*,3672#BCRTC,+,+
LDOC,38092,E04-92-0592-710,PART,PART,*,*,3673#BCRTC,+,+
LDOC,38093,E04-92-0592-715,PART,PART,*,*,3674#BCRTC,+,+
LDOC,38094,E04-92-0592-720,PART,PART,*,*,3675#BCRTC,+,+
LDOC,38095,E04-92-0592-725,PART,PART,*,*,3676#BCRTC,+,+
LDOC,38096,E04-92-0592-730,PART,PART,*,*,3677#BCRTC,+,+
LDOC,38097,E04-92-0592-735,PART,PART,*,*,3678#BCRTC,+,+
LDOC,38098,E04-92-0592-800,PART,PART,*,*,3679#BCRTC,+,+
LDOC,38099,E04-92-0592-820,PART,PART,*,*,3680#BCRTC,+,+
LDOC,38100,E04-92-0592-837,PART,PART,*,*,3681#BCRTC,+,+
LDOC,38101,E04-92-0592-839,PART,PART,*,*,3682#BCRTC,+,+
LDOC,38102,E04-92-0592-840,PART,PART,*,*,3683#BCRTC,+,+
LDOC,38103,E04-92-0592-850,PART,PART,*,*,3684#BCRTC,+,+
LDOC,38104,E04-92-0592-875,PART,PART,*,*,3685#BCRTC,+,+
LDOC,38105,E04-92-0592-880,PART,PART,*,*,3686#BCRTC,+,+
LDOC,38106,E04-92-0592-900,PART,PART,*,*,3687#BCRTC,+,+
LDOC,38107,E04-92-0592-910,PART,PART,*,*,3689#BCRTC,+,+
LDOC,38108,E04-92-0592-912,PART,PART,*,*,3690#BCRTC,+,+
LDOC,38109,E04-92-0592-940,PART,PART,*,*,3691#BCRTC,+,+
LDOC,38110,E04-92-0592-942,PART,PART,*,*,3692#BCRTC,+,+
LDOC,38111,E04-92-0592-950,PART,PART,*,*,3693#BCRTC,+,+
