tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,33720,PART,PART,*,*,14721#BCRTC,+,+
LDOC,33721,PART,PART,*,*,14879#BCRTC,+,+
LDOC,33722,PART,PART,*,*,3660#BCRTC,+,+
LDOC,33723,PART,PART,*,*,3661#BCRTC,+,+
LDOC,33724,PART,PART,*,*,3662#BCRTC,+,+
LDOC,33725,PART,PART,*,*,3664#BCRTC,+,+
LDOC,33726,PART,PART,*,*,3665#BCRTC,+,+
LDOC,33727,PART,PART,*,*,3669#BCRTC,+,+
LDOC,33728,PART,PART,*,*,3671#BCRTC,+,+
LDOC,33729,PART,PART,*,*,3672#BCRTC,+,+
LDOC,33730,PART,PART,*,*,3673#BCRTC,+,+
LDOC,33731,PART,PART,*,*,3674#BCRTC,+,+
LDOC,33732,PART,PART,*,*,3675#BCRTC,+,+
LDOC,33733,PART,PART,*,*,3676#BCRTC,+,+
LDOC,33734,PART,PART,*,*,3677#BCRTC,+,+
LDOC,33735,PART,PART,*,*,3678#BCRTC,+,+
LDOC,33736,PART,PART,*,*,3679#BCRTC,+,+
LDOC,33737,PART,PART,*,*,3680#BCRTC,+,+
LDOC,33738,PART,PART,*,*,3681#BCRTC,+,+
LDOC,33739,PART,PART,*,*,3682#BCRTC,+,+
LDOC,33740,PART,PART,*,*,3683#BCRTC,+,+
LDOC,33741,PART,PART,*,*,3684#BCRTC,+,+
LDOC,33742,PART,PART,*,*,3685#BCRTC,+,+
LDOC,33743,PART,PART,*,*,3686#BCRTC,+,+
LDOC,33744,PART,PART,*,*,3687#BCRTC,+,+
LDOC,33745,PART,PART,*,*,3689#BCRTC,+,+
LDOC,33746,PART,PART,*,*,3690#BCRTC,+,+
LDOC,33747,PART,PART,*,*,3691#BCRTC,+,+
LDOC,33748,PART,PART,*,*,3692#BCRTC,+,+
LDOC,33749,PART,PART,*,*,3693#BCRTC,+,+
LDOC,33750,PART,PART,*,*,3694#BCRTC,+,+
LDOC,33751,PART,PART,*,*,3696#BCRTC,+,+
LDOC,33752,PART,PART,*,*,3697#BCRTC,+,+
LDOC,33753,PART,PART,*,*,3698#BCRTC,+,+
LDOC,33754,PART,PART,*,*,6237#BCRTC,+,+
LDOC,33755,PART,PART,*,*,3701#BCRTC,+,+
LDOC,33756,PART,PART,*,*,3702#BCRTC,+,+
LDOC,33757,PART,PART,*,*,3703#BCRTC,+,+
LDOC,33758,PART,PART,*,*,14044#BCRTC,+,+
LDOC,33759,PART,PART,*,*,6834#BCRTC,+,+
LDOC,33760,PART,PART,*,*,9101#BCRTC,+,+
LDOC,33761,PART,PART,*,*,9390#BCRTC,+,+
LDOC,33762,PART,PART,*,*,6686#BCRTC,+,+
LDOC,33763,PART,PART,*,*,6689#BCRTC,+,+
LDOC,33764,PART,PART,*,*,6690#BCRTC,+,+
LDOC,33765,PART,PART,*,*,6663#BCRTC,+,+
LDOC,33766,PART,PART,*,*,6678#BCRTC,+,+
LDOC,33767,PART,PART,*,*,6679#BCRTC,+,+
LDOC,33768,PART,PART,*,*,6680#BCRTC,+,+
LDOC,33769,PART,PART,*,*,6664#BCRTC,+,+
LDOC,33770,PART,PART,*,*,6665#BCRTC,+,+
LDOC,33771,PART,PART,*,*,6666#BCRTC,+,+
LDOC,33772,PART,PART,*,*,6681#BCRTC,+,+
LDOC,33807,PART,PART,*,*,6682#BCRTC,+,+
LDOC,33808,PART,PART,*,*,6667#BCRTC,+,+
LDOC,33809,PART,PART,*,*,6683#BCRTC,+,+
LDOC,33810,PART,PART,*,*,6684#BCRTC,+,+
LDOC,33811,PART,PART,*,*,6685#BCRTC,+,+
LDOC,33812,PART,PART,*,*,6655#BCRTC,+,+
LDOC,33813,PART,PART,*,*,6652#BCRTC,+,+
LDOC,33814,PART,PART,*,*,6674#BCRTC,+,+
LDOC,33815,PART,PART,*,*,6675#BCRTC,+,+
LDOC,33816,PART,PART,*,*,6696#BCRTC,+,+
LDOC,33817,PART,PART,*,*,6676#BCRTC,+,+
LDOC,33818,PART,PART,*,*,6668#BCRTC,+,+
LDOC,33819,PART,PART,*,*,6695#BCRTC,+,+
LDOC,33820,PART,PART,*,*,6673#BCRTC,+,+
LDOC,33821,PART,PART,*,*,7238#BCRTC,+,+
LDOC,33822,PART,PART,*,*,9023#BCRTC,+,+
LDOC,33823,PART,PART,*,*,8824#BCRTC,+,+
LDOC,33824,PART,PART,*,*,8822#BCRTC,+,+
LDOC,33825,PART,PART,*,*,8823#BCRTC,+,+
LDOC,33826,PART,PART,*,*,9020#BCRTC,+,+
LDOC,33827,PART,PART,*,*,9019#BCRTC,+,+
LDOC,33828,PART,PART,*,*,9022#BCRTC,+,+
LDOC,33829,PART,PART,*,*,9018#BCRTC,+,+
LDOC,33830,PART,PART,*,*,9024#BCRTC,+,+
LDOC,33831,PART,PART,*,*,3704#BCRTC,+,+
LDOC,33832,PART,PART,*,*,9684#BCRTC,+,+
LDOC,33833,PART,PART,*,*,10580#BCRTC,+,+
LDOC,33834,PART,PART,*,*,3705#BCRTC,+,+
LDOC,33835,PART,PART,*,*,3712#BCRTC,+,+
LDOC,33836,PART,PART,*,*,3714#BCRTC,+,+
LDOC,33837,PART,PART,*,*,3716#BCRTC,+,+
LDOC,33838,PART,PART,*,*,3720#BCRTC,+,+
LDOC,33839,PART,PART,*,*,6275#BCRTC,+,+
LDOC,33840,PART,PART,*,*,3730#BCRTC,+,+
LDOC,33841,PART,PART,*,*,3731#BCRTC,+,+
LDOC,33842,PART,PART,*,*,3736#BCRTC,+,+
LDOC,33843,PART,PART,*,*,3737#BCRTC,+,+
LDOC,33844,PART,PART,*,*,6276#BCRTC,+,+
